lng,lat,url,title,pic,sentiment
-87.95222,43.056585,https://www.cnn.com/2018/09/24/us/bill-cosby-sentencing-trial/index.html,"Bill Cosby will find out his sentence this week on 3 indecent assault charges",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-79.40060729999999,40.291041,https://www.cnn.com/videos/world/2018/09/22/first-woman-tv-anchor-saudi-arabia-wxp.hln,"See how this Saudi woman just made history",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-94.52744179999999,37.0697,https://www.cnn.com/2018/09/23/politics/kavanaugh-allegation-second-woman/index.html,"White House and Kavanaugh deny allegation made by second woman",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-77.0044398,38.8906424,https://www.cnn.com/2018/09/23/politics/nikki-haley-brett-kavanaugh-christine-blasey-ford-cnntv/index.html,"Nikki Haley says sexual harassment accusers shouldn't be second-guessed",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-118.396402,34.073869,https://www.cnn.com/videos/world/2018/09/22/first-woman-tv-anchor-saudi-arabia-wxp.hln,"See how this Saudi woman just made history",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-0.1276248,51.5033635,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-74.0013214,40.7151117,https://www.cnn.com/2018/09/24/us/bill-cosby-sentencing-trial/index.html,"Bill Cosby will find out his sentence this week on 3 indecent assault charges",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-95.93558399999999,36.7105532,https://www.cnn.com/2018/09/23/politics/nikki-haley-brett-kavanaugh-christine-blasey-ford-cnntv/index.html,"Nikki Haley says sexual harassment accusers shouldn't be second-guessed",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
34.851612,31.046051,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
35.21371,31.768319,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-73.9444336,40.800043,https://www.cnn.com/2018/09/24/us/bill-cosby-sentencing-trial/index.html,"Bill Cosby will find out his sentence this week on 3 indecent assault charges",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-73.9680091,40.7488758,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-84.40988999999999,33.794919,https://www.cnn.com/2018/09/24/us/bill-cosby-sentencing-trial/index.html,"Bill Cosby will find out his sentence this week on 3 indecent assault charges",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
48.516388,15.552727,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-75.3434985,40.1155435,https://www.cnn.com/2018/09/24/us/bill-cosby-sentencing-trial/index.html,"Bill Cosby will find out his sentence this week on 3 indecent assault charges",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-87.626394,41.888868,https://www.cnn.com/videos/politics/2018/09/22/cuomo-closing-argument-collins-on-trump-kavanaugh-sot-cpt-vpx.cnn,"Cuomo: Trump doubled down on dumb",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-73.989514,40.739405,https://www.cnn.com/2018/09/23/opinions/presidential-weekly-briefing-united-nations-vinograd/index.html,"At UN, Trump will make one change to his list of bad boys",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-95.845107,36.1774518,https://www.cnn.com/2018/09/23/politics/nikki-haley-brett-kavanaugh-christine-blasey-ford-cnntv/index.html,"Nikki Haley says sexual harassment accusers shouldn't be second-guessed",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
-73.9842724,40.715033,https://www.cnn.com/2018/09/22/opinions/anthony-bourdain-parts-unknown-censor-spicer-joslyn/index.html,"I was Anthony Bourdain's 'censor' at CNN",https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0,0.0
